sim,incl_00,incl_10,incl_20,incl_30,incl_40,incl_50,incl_60,incl_70,incl_80,-vac1-ratio-00,-vac1-ratio-10,-vac1-ratio-20,-vac1-ratio-30,-vac1-ratio-40,-vac1-ratio-50,-vac1-ratio-60,-vac1-ratio-70,-vac1-ratio-80
185,0,1,0,1,1,1,0,0,1,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2
186,0,1,0,1,1,1,0,1,0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0
187,0,1,0,1,1,1,0,1,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
188,0,1,0,1,1,1,1,0,0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0
189,0,1,0,1,1,1,1,0,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
190,0,1,0,1,1,1,1,1,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
191,0,1,0,1,1,1,1,1,1,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
192,0,1,1,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
193,0,1,1,0,0,0,0,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
194,0,1,1,0,0,0,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
195,0,1,1,0,0,0,0,1,1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
196,0,1,1,0,0,0,1,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
197,0,1,1,0,0,0,1,0,1,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25
198,0,1,1,0,0,0,1,1,0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0
199,0,1,1,0,0,0,1,1,1,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2
200,0,1,1,0,0,1,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
201,0,1,1,0,0,1,0,0,1,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25
202,0,1,1,0,0,1,0,1,0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0
203,0,1,1,0,0,1,0,1,1,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2
204,0,1,1,0,0,1,1,0,0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0
205,0,1,1,0,0,1,1,0,1,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2
206,0,1,1,0,0,1,1,1,0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0
207,0,1,1,0,0,1,1,1,1,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
208,0,1,1,0,1,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
209,0,1,1,0,1,0,0,0,1,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25
210,0,1,1,0,1,0,0,1,0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0
211,0,1,1,0,1,0,0,1,1,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2
212,0,1,1,0,1,0,1,0,0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0
213,0,1,1,0,1,0,1,0,1,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2
214,0,1,1,0,1,0,1,1,0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0
215,0,1,1,0,1,0,1,1,1,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
216,0,1,1,0,1,1,0,0,0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0
217,0,1,1,0,1,1,0,0,1,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2
218,0,1,1,0,1,1,0,1,0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
219,0,1,1,0,1,1,0,1,1,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
220,0,1,1,0,1,1,1,0,0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0
221,0,1,1,0,1,1,1,0,1,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
222,0,1,1,0,1,1,1,1,0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
223,0,1,1,0,1,1,1,1,1,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
224,0,1,1,1,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
225,0,1,1,1,0,0,0,0,1,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25
226,0,1,1,1,0,0,0,1,0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0
227,0,1,1,1,0,0,0,1,1,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
228,0,1,1,1,0,0,1,0,0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0
229,0,1,1,1,0,0,1,0,1,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2
230,0,1,1,1,0,0,1,1,0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0
231,0,1,1,1,0,0,1,1,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
232,0,1,1,1,0,1,0,0,0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
233,0,1,1,1,0,1,0,0,1,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2
234,0,1,1,1,0,1,0,1,0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0
235,0,1,1,1,0,1,0,1,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
236,0,1,1,1,0,1,1,0,0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0
